dataset,protected_attribute,unbiasing_algorithm,data,classifier_type,classification_algorithm,value,disparate_impact_ssd,discrimination_score_ssd,true_positive_rate_diff_ssd,false_positive_rate_diff_ssd,false_positive_error_rate_balance_score_ssd,false_negative_error_rate_balance_score_ssd,consistency_ssd,confusion_matrix,accuracy_ssd,f1_score_ssd,recall_ssd,precision_ssd,mathews_cc_ssd,roc_curve,auc_ssd,sensitivity_ssd,specificity_ssd
Adult Income,race,,Validation,Surrogate,LogisticRegression,Amer-Indian-Eskimo,30.0,0.865,6.3922,0.1728,0.1733,6.395,0.0,"[3337, 271, 624, 530]",1.0592,6.2874,8.7707,3.4334,9.4046,"[[0.0, 0.07511086474501108, 1.0], [0.0, 0.4592720970537262, 1.0], [inf, 1.0, 0.0]]",2.8441,8.7707,0.1692
Adult Income,race,,Validation,Surrogate,LogisticRegression,Asian-Pac-Islander,1.4879,0.0426,0.0958,0.0726,0.0688,0.1131,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Validation,Surrogate,LogisticRegression,Black,13.3267,0.4298,0.55,0.1041,0.1044,0.5763,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Validation,Surrogate,LogisticRegression,Other,0.193,0.0055,0.5981,0.0016,0.0034,0.599,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Validation,Surrogate,LogisticRegression,White,60.5176,0.3486,0.4349,0.1048,0.1027,0.4414,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Validation,Surrogate,SVC,Amer-Indian-Eskimo,22.8639,0.6015,6.7887,0.0424,0.0397,6.7859,0.0,"[3388, 220, 608, 546]",0.9072,5.578,8.3287,2.4745,8.0902,"[[0.0, 0.06097560975609756, 1.0], [0.0, 0.4731369150779896, 1.0], [inf, 1.0, 0.0]]",2.5913,8.3287,0.1116
Adult Income,race,,Validation,Surrogate,SVC,Asian-Pac-Islander,4.4931,0.1135,0.6868,0.0016,0.001,0.7423,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Validation,Surrogate,SVC,Black,13.9537,0.4128,0.6759,0.0703,0.0714,0.7032,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Validation,Surrogate,SVC,Other,9.3476,0.2441,0.4885,0.1138,0.1138,0.4869,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Validation,Surrogate,SVC,White,26.4742,0.2102,0.0532,0.0532,0.0522,0.0557,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Validation,Surrogate,GaussianNB,Amer-Indian-Eskimo,30.0,2.9957,15.0719,1.0773,1.0773,15.0847,0.0,"[2932, 676, 340, 814]",1.3662,4.4306,2.6037,6.1753,8.1526,"[[0.0, 0.18736141906873613, 1.0], [0.0, 0.7053726169844021, 1.0], [inf, 1.0, 0.0]]",1.7424,2.6037,1.0536
Adult Income,race,,Validation,Surrogate,GaussianNB,Asian-Pac-Islander,17.4971,1.7949,6.675,1.0102,1.0069,6.675,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Validation,Surrogate,GaussianNB,Black,16.893,1.9172,2.7416,0.8548,0.8487,2.7271,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Validation,Surrogate,GaussianNB,Other,5.578,0.55,0.2713,0.3377,0.3164,0.2708,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Validation,Surrogate,GaussianNB,White,322.2405,2.1773,4.6029,1.0157,1.0146,4.617,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Validation,Surrogate,DecisionTreeClassifier,Amer-Indian-Eskimo,0.0204,0.001,4.7318,0.3408,0.3341,4.4744,0.0,"[3161, 447, 543, 611]",1.2877,5.967,6.598,5.3119,10.0864,"[[0.0, 0.12389135254988913, 1.0], [0.0, 0.5294627383015598, 1.0], [inf, 1.0, 0.0]]",2.6322,6.598,0.4565
Adult Income,race,,Validation,Surrogate,DecisionTreeClassifier,Asian-Pac-Islander,7.6818,0.3679,0.4908,0.2186,0.2196,0.4559,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Validation,Surrogate,DecisionTreeClassifier,Black,6.2315,0.3363,0.2053,0.07,0.0694,0.1935,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Validation,Surrogate,DecisionTreeClassifier,Other,6.5259,0.3245,0.144,0.1439,0.1345,0.144,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Validation,Surrogate,DecisionTreeClassifier,White,2.9639,0.0908,0.0095,0.0058,0.0054,0.0064,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Validation,Surrogate,RandomForestClassifier,Amer-Indian-Eskimo,11.4811,0.5372,9.9295,0.0009,0.0,9.9305,0.0,"[3248, 360, 489, 665]",0.9721,4.6446,5.4868,3.7823,7.7466,"[[0.0, 0.09977827050997783, 1.0], [0.0, 0.5762564991334489, 1.0], [inf, 1.0, 0.0]]",2.0945,5.4868,0.3048
Adult Income,race,,Validation,Surrogate,RandomForestClassifier,Asian-Pac-Islander,0.2403,0.011,0.0012,0.0004,0.0005,0.0021,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Validation,Surrogate,RandomForestClassifier,Black,9.6824,0.5003,0.2831,0.1107,0.1112,0.3172,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Validation,Surrogate,RandomForestClassifier,Other,9.3858,0.4379,1.5663,0.3103,0.3108,1.5686,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Validation,Surrogate,RandomForestClassifier,White,19.7767,0.3182,0.1925,0.079,0.0782,0.1813,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Validation,Test,XGBClassifier,Amer-Indian-Eskimo,8.162,0.379,6.3508,0.002,0.0049,6.005,0.0,"[3293, 315, 448, 706]",0.7699,3.6918,4.521,2.8552,6.14,"[[0.0, 0.0873059866962306, 1.0], [0.0, 0.6117850953206239, 1.0], [inf, 1.0, 0.0]]",1.6965,4.521,0.2286
Adult Income,race,,Validation,Test,XGBClassifier,Asian-Pac-Islander,0.1105,0.0051,0.1424,0.0254,0.029,0.1287,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Validation,Test,XGBClassifier,Black,12.3187,0.6421,1.0345,0.1146,0.1131,1.0179,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Validation,Test,XGBClassifier,Other,9.3409,0.4334,1.0728,0.2328,0.2334,1.0716,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Validation,Test,XGBClassifier,White,29.8981,0.3995,0.249,0.0968,0.0961,0.2534,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,sex,,Validation,Surrogate,LogisticRegression,Female,26.5136,1.5746,7.467,0.3146,0.3158,7.506,0.0,"[3337, 271, 624, 530]",1.0592,6.2874,8.7707,3.4334,9.4046,"[[0.0, 0.07511086474501108, 1.0], [0.0, 0.4592720970537262, 1.0], [inf, 1.0, 0.0]]",2.8441,8.7707,0.1692
Adult Income,sex,,Validation,Surrogate,LogisticRegression,Male,7386.9776,1.5746,7.467,0.3146,0.3158,7.506,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,sex,,Validation,Surrogate,SVC,Female,16.3881,0.7414,0.4658,0.1586,0.1577,0.4613,0.0,"[3388, 220, 608, 546]",0.9072,5.578,8.3287,2.4745,8.0902,"[[0.0, 0.06097560975609756, 1.0], [0.0, 0.4731369150779896, 1.0], [inf, 1.0, 0.0]]",2.5913,8.3287,0.1116
